Accession_ID	Chr	Start	End	Strand	Length	A_1_1	A_1_2	A_1_3	A_2_1	A_2_2	A_2_3	A_3_1	A_3_2	A_3_3	A_4_1	A_4_2	A_4_3	A_5_1	A_5_2	A_5_3	A_6_1	A_6_2	A_6_3	A_7_1	A_7_2	A_7_3	A_8_1	A_8_2	A_8_3
lcl|NZ_CP011304.1_cds_WP_046662489.1_2617	lcl|NZ_CP011304.1_cds_WP_046662489.1_2617	1	390	+	390	21	9	18	20	17	13	28	58	10	29	4	29	130	108	129	25	35	15	35	120	102	53	63	66
lcl|NZ_CP011304.1_cds_WP_046662490.1_2618	lcl|NZ_CP011304.1_cds_WP_046662490.1_2618	1	780	+	780	182	142	51	60	69	5	63	118	24	73	68	51	573	616	1066	98	178	390	156	188	276	262	613	242
lcl|NZ_CP011304.1_cds_myaer_RS22505_2619	lcl|NZ_CP011304.1_cds_myaer_RS22505_2619	1	117	+	117	13	8	2	10	10	2	4	8	2	32	0	1	14	24	42	0	0	0	8	10	15	0	10	0
lcl|NZ_CP011304.1_cds_WP_046662491.1_2620	lcl|NZ_CP011304.1_cds_WP_046662491.1_2620	1	1128	+	1128	209	172	86	166	149	65	194	309	43	162	58	63	721	231	300	134	109	102	143	232	259	158	352	131
lcl|NZ_CP011304.1_cds_WP_046662492.1_2621	lcl|NZ_CP011304.1_cds_WP_046662492.1_2621	1	3015	+	3015	1693	1175	503	613	564	217	473	784	138	863	423	411	3958	1547	2806	845	471	689	563	1052	1137	1165	2915	847
lcl|NZ_CP011304.1_cds_WP_046662493.1_2622	lcl|NZ_CP011304.1_cds_WP_046662493.1_2622	1	618	+	618	90	96	43	104	95	56	35	66	24	39	104	40	88	82	118	55	26	53	10	24	24	65	166	117
lcl|NZ_CP011304.1_cds_WP_071846466.1_2623	lcl|NZ_CP011304.1_cds_WP_071846466.1_2623	1	432	+	432	14	14	9	4	0	3	6	10	1	4	5	12	8	1	11	0	0	4	0	2	3	0	16	5
lcl|NZ_CP011304.1_cds_WP_046662494.1_2624	lcl|NZ_CP011304.1_cds_WP_046662494.1_2624	1	1260	+	1260	3674	5200	3487	3861	3161	3463	1739	2802	1385	4882	6011	6327	2518	700	1531	541	406	856	435	789	749	899	1171	956
lcl|NZ_CP011304.1_cds_WP_149039034.1_2625	lcl|NZ_CP011304.1_cds_WP_149039034.1_2625	1	354	+	354	859	479	406	335	199	78	49	89	28	66	92	75	843	290	520	276	198	322	19	59	46	203	615	458
lcl|NZ_CP011304.1_cds_WP_046662496.1_2626	lcl|NZ_CP011304.1_cds_WP_046662496.1_2626	1	426	+	426	137	166	41	32	41	3	33	21	14	103	57	18	114	157	169	62	41	46	13	19	29	91	182	83
lcl|NZ_CP011304.1_cds_WP_046662497.1_2627	lcl|NZ_CP011304.1_cds_WP_046662497.1_2627	1	1020	+	1020	2653	2228	1109	2280	1881	1218	2163	3454	1592	1451	1324	967	1919	1470	1486	815	675	762	1529	1872	1954	640	927	481
lcl|NZ_CP011304.1_cds_WP_046662504.1_2636	lcl|NZ_CP011304.1_cds_WP_046662504.1_2636	1	528	+	528	1718	1875	537	1366	1132	381	2514	3440	846	2233	784	654	940	648	689	466	268	345	1211	1338	1596	336	370	179
lcl|NZ_CP011304.1_cds_WP_066029916.1_2638	lcl|NZ_CP011304.1_cds_WP_066029916.1_2638	1	1314	+	1314	503	635	251	334	232	175	321	446	250	493	462	364	541	77	121	46	41	52	100	240	165	31	112	40
lcl|NZ_CP011304.1_cds_WP_046662505.1_2639	lcl|NZ_CP011304.1_cds_WP_046662505.1_2639	1	939	+	939	180	179	92	102	72	80	171	199	99	106	134	125	133	24	56	22	19	35	55	65	66	8	62	14
lcl|NZ_CP011304.1_cds_WP_046662506.1_2640	lcl|NZ_CP011304.1_cds_WP_046662506.1_2640	1	255	+	255	52	34	10	21	20	11	16	42	18	18	7	13	15	7	11	4	1	0	18	26	19	6	10	4
lcl|NZ_CP011304.1_cds_WP_046662515.1_2650	lcl|NZ_CP011304.1_cds_WP_046662515.1_2650	1	285	+	285	55	72	50	41	38	32	15	32	25	22	43	40	31	27	33	25	8	2	8	6	9	20	39	18
lcl|NZ_CP011304.1_cds_myaer_RS13800_2652	lcl|NZ_CP011304.1_cds_myaer_RS13800_2652	1	126	+	126	56	96	22	24	20	4	16	28	1	58	4	13	27	12	17	12	8	6	4	14	17	6	20	5
lcl|NZ_CP011304.1_cds_WP_046663777.1_2661	lcl|NZ_CP011304.1_cds_WP_046663777.1_2661	1	360	+	360	358	295	89	388	358	138	201	259	94	400	251	173	160	153	251	83	85	114	72	105	97	119	218	65
lcl|NZ_CP011304.1_cds_WP_046662523.1_2665	lcl|NZ_CP011304.1_cds_WP_046662523.1_2665	1	1134	+	1134	369	759	433	448	442	345	171	287	211	666	755	506	367	328	400	225	170	251	126	122	204	341	506	358
lcl|NZ_CP011304.1_cds_WP_046662526.1_2668	lcl|NZ_CP011304.1_cds_WP_046662526.1_2668	1	1578	+	1578	3949	5529	2580	4131	3596	2616	4010	5437	3106	3981	3559	2788	2424	2014	2219	1438	1153	1500	2273	2868	3033	1463	1578	1036
lcl|NZ_CP011304.1_cds_WP_235614748.1_2680	lcl|NZ_CP011304.1_cds_WP_235614748.1_2680	1	627	+	627	26213	24806	13899	23833	16899	13207	26454	31024	10629	21493	10825	11516	15652	11002	17374	9412	3290	5478	9955	13852	18250	4374	5877	3559
lcl|NZ_CP011304.1_cds_WP_158524800.1_2688	lcl|NZ_CP011304.1_cds_WP_158524800.1_2688	1	513	+	513	11	38	10	19	4	4	2	8	1	7	22	1	43	28	43	18	12	2	12	8	13	12	75	41
lcl|NZ_CP011304.1_cds_myaer_RS13990_2689	lcl|NZ_CP011304.1_cds_myaer_RS13990_2689	1	431	+	431	483	1011	418	484	430	276	194	340	301	947	942	682	232	233	169	83	38	34	43	101	68	32	113	45
lcl|NZ_CP011304.1_cds_WP_046662544.1_2691	lcl|NZ_CP011304.1_cds_WP_046662544.1_2691	1	1344	+	1344	548	1318	438	446	332	287	630	892	277	710	279	507	481	358	707	318	79	32	370	521	504	353	581	373
lcl|NZ_CP011304.1_cds_WP_235614749.1_2693	lcl|NZ_CP011304.1_cds_WP_235614749.1_2693	1	753	+	753	720	1056	362	902	703	394	1180	1289	466	769	763	525	556	514	433	340	293	400	558	771	837	269	305	172
lcl|NZ_CP011304.1_cds_WP_046662549.1_2697	lcl|NZ_CP011304.1_cds_WP_046662549.1_2697	1	543	+	543	561	403	157	381	374	160	718	507	241	1463	184	239	255	349	600	154	122	208	316	362	439	98	280	79
lcl|NZ_CP011304.1_cds_WP_046662550.1_2699	lcl|NZ_CP011304.1_cds_WP_046662550.1_2699	1	333	+	333	111	124	96	52	51	61	76	105	57	46	80	99	63	43	120	39	51	59	66	94	88	36	48	33
lcl|NZ_CP011304.1_cds_WP_046662551.1_2700	lcl|NZ_CP011304.1_cds_WP_046662551.1_2700	1	750	+	750	3815	2908	3083	609	509	748	290	773	69	2630	1119	1494	2758	2528	5861	1366	558	888	236	337	581	5045	9324	9954
lcl|NZ_CP011304.1_cds_WP_046662555.1_2704	lcl|NZ_CP011304.1_cds_WP_046662555.1_2704	1	336	+	336	903	977	515	911	1010	615	1229	1674	1193	656	983	585	615	520	680	463	370	700	668	764	766	232	488	262
lcl|NZ_CP011304.1_cds_WP_080949762.1_2705	lcl|NZ_CP011304.1_cds_WP_080949762.1_2705	1	474	+	474	178	218	51	121	138	49	260	307	81	215	68	60	124	87	161	54	44	37	145	169	156	54	179	43
lcl|NZ_CP011304.1_cds_WP_046662556.1_2706	lcl|NZ_CP011304.1_cds_WP_046662556.1_2706	1	588	+	588	1859	854	395	1486	987	359	212	174	26	693	293	253	199	271	368	632	426	553	37	48	68	155	652	178
lcl|NZ_CP011304.1_cds_WP_235614750.1_2722	lcl|NZ_CP011304.1_cds_WP_235614750.1_2722	1	216	+	216	232	394	121	247	179	89	155	212	83	320	106	133	124	160	227	89	76	50	57	110	100	99	203	65
lcl|NZ_CP011304.1_cds_WP_080949764.1_2723	lcl|NZ_CP011304.1_cds_WP_080949764.1_2723	1	1854	+	1854	2740	2942	1576	3292	2796	1935	7731	11876	5373	2670	2339	1883	1810	1656	1926	1340	1046	1398	5571	7118	7906	866	1159	730
lcl|NZ_CP011304.1_cds_WP_046662570.1_2729	lcl|NZ_CP011304.1_cds_WP_046662570.1_2729	1	762	+	762	3051	3092	972	2692	2550	1096	2343	2873	1216	4075	1486	1173	1645	1519	1872	945	635	790	952	1149	1233	1073	1492	566
lcl|NZ_CP011304.1_cds_WP_046663786.1_2731	lcl|NZ_CP011304.1_cds_WP_046663786.1_2731	1	4032	+	4032	15487	11897	7236	10631	9398	6145	16694	21965	9317	8171	5919	4979	10830	6474	8154	4502	3168	4205	8550	12257	12599	3574	5598	3425
lcl|NZ_CP011304.1_cds_WP_046662575.1_2736	lcl|NZ_CP011304.1_cds_WP_046662575.1_2736	1	957	+	957	1031	1021	422	719	538	368	391	695	197	860	723	500	725	494	737	413	293	351	301	399	394	360	774	388
lcl|NZ_CP011304.1_cds_WP_046662576.1_2738	lcl|NZ_CP011304.1_cds_WP_046662576.1_2738	1	459	+	459	180	200	82	116	119	103	35	77	43	240	172	135	235	204	338	125	147	239	86	136	112	139	364	231
lcl|NZ_CP011304.1_cds_myaer_RS22520_2743	lcl|NZ_CP011304.1_cds_myaer_RS22520_2743	1	147	+	147	21	16	4	16	2	3	6	0	0	16	1	9	9	4	21	12	8	3	0	0	3	7	8	2
lcl|NZ_CP011304.1_cds_WP_046662581.1_2744	lcl|NZ_CP011304.1_cds_WP_046662581.1_2744	1	1281	+	1281	300	338	213	107	88	65	34	78	99	125	213	146	150	123	227	76	73	76	28	43	60	91	234	95
lcl|NZ_CP011304.1_cds_WP_046662582.1_2745	lcl|NZ_CP011304.1_cds_WP_046662582.1_2745	1	1119	+	1119	4403	5151	2111	3924	3473	2014	1925	2850	1633	4326	4192	2512	2699	1091	1560	869	768	969	670	961	876	790	1203	685
lcl|NZ_CP011304.1_cds_WP_046662584.1_2747	lcl|NZ_CP011304.1_cds_WP_046662584.1_2747	1	936	+	936	358	425	301	282	270	237	182	224	107	170	272	153	243	203	307	121	119	131	76	141	111	45	108	44
lcl|NZ_CP011304.1_cds_WP_046662585.1_2748	lcl|NZ_CP011304.1_cds_WP_046662585.1_2748	1	948	+	948	506	509	630	277	309	434	96	144	136	251	471	397	314	277	187	101	103	115	57	90	119	53	86	131
lcl|NZ_CP011304.1_cds_WP_046662586.1_2749	lcl|NZ_CP011304.1_cds_WP_046662586.1_2749	1	246	+	246	5	4	24	8	26	11	6	3	1	1	10	12	2	2	3	4	2	0	4	6	2	10	2	0
lcl|NZ_CP011304.1_cds_WP_046662588.1_2751	lcl|NZ_CP011304.1_cds_WP_046662588.1_2751	1	720	+	720	1953	1604	463	1975	1774	611	1113	1398	379	2271	861	705	978	613	601	381	251	262	355	515	470	245	255	128
lcl|NZ_CP011304.1_cds_WP_046662589.1_2752	lcl|NZ_CP011304.1_cds_WP_046662589.1_2752	1	792	+	792	243	143	97	275	153	98	135	156	71	217	173	78	148	146	87	113	67	112	60	134	95	42	72	31
lcl|NZ_CP011304.1_cds_WP_046662590.1_2753	lcl|NZ_CP011304.1_cds_WP_046662590.1_2753	1	768	+	768	437	399	161	349	322	201	236	298	230	273	331	234	201	126	143	120	124	139	78	111	123	154	132	75
lcl|NZ_CP011304.1_cds_WP_046662592.1_2755	lcl|NZ_CP011304.1_cds_WP_046662592.1_2755	1	1041	+	1041	782	1068	512	553	495	402	487	519	371	764	604	454	399	227	325	187	136	168	80	235	184	182	172	155
lcl|NZ_CP011304.1_cds_WP_046662593.1_2756	lcl|NZ_CP011304.1_cds_WP_046662593.1_2756	1	1206	+	1206	1517	1082	589	833	839	492	338	647	422	1247	1055	705	823	461	357	357	241	321	244	396	251	162	292	184
lcl|NZ_CP011304.1_cds_WP_046662594.1_2757	lcl|NZ_CP011304.1_cds_WP_046662594.1_2757	1	1098	+	1098	2474	2011	1095	1269	1343	786	586	844	420	1457	1865	1132	1370	610	421	465	516	442	240	339	299	228	413	205
lcl|NZ_CP011304.1_cds_WP_071846469.1_2758	lcl|NZ_CP011304.1_cds_WP_071846469.1_2758	1	654	+	654	682	571	405	483	430	372	123	236	160	456	723	455	415	225	185	193	170	217	91	107	85	88	127	111
lcl|NZ_CP011304.1_cds_WP_080949767.1_2759	lcl|NZ_CP011304.1_cds_WP_080949767.1_2759	1	744	+	744	242	247	302	184	161	163	47	54	37	190	512	251	122	74	152	69	50	73	36	60	50	42	98	61
lcl|NZ_CP011304.1_cds_WP_052734185.1_2760	lcl|NZ_CP011304.1_cds_WP_052734185.1_2760	1	1182	+	1182	601	396	304	250	243	188	106	198	121	324	620	461	311	53	51	70	58	85	50	59	55	22	58	33
lcl|NZ_CP011304.1_cds_WP_046662597.1_2761	lcl|NZ_CP011304.1_cds_WP_046662597.1_2761	1	1185	+	1185	491	402	243	180	214	132	113	218	121	413	640	357	194	62	29	64	26	63	61	66	40	27	24	21
lcl|NZ_CP011304.1_cds_WP_046662598.1_2762	lcl|NZ_CP011304.1_cds_WP_046662598.1_2762	1	1812	+	1812	1279	863	960	772	757	799	386	556	308	1180	1718	1404	821	307	305	233	223	310	120	154	157	118	273	240
lcl|NZ_CP011304.1_cds_WP_046662599.1_2763	lcl|NZ_CP011304.1_cds_WP_046662599.1_2763	1	426	+	426	221	100	162	134	120	171	46	71	45	185	220	136	138	56	104	71	38	55	19	56	43	45	62	47
lcl|NZ_CP011304.1_cds_WP_158524801.1_2765	lcl|NZ_CP011304.1_cds_WP_158524801.1_2765	1	165	+	165	9	14	8	5	11	4	0	12	1	0	10	12	14	7	13	0	2	0	0	0	2	14	29	8
lcl|NZ_CP011304.1_cds_WP_046662605.1_2772	lcl|NZ_CP011304.1_cds_WP_046662605.1_2772	1	906	+	906	3584	3784	1609	4126	3260	2071	2234	3157	1609	3113	3011	2165	2277	2096	2516	1966	1578	2013	1484	1569	1961	1395	2106	1418
lcl|NZ_CP011304.1_cds_WP_046662606.1_2773	lcl|NZ_CP011304.1_cds_WP_046662606.1_2773	1	624	+	624	8629	6448	3263	13825	10050	6207	3366	4843	1670	13581	8703	6714	3997	4468	5907	7391	5086	6768	2210	1944	2751	6245	7697	4383
lcl|NZ_CP011304.1_cds_WP_046662610.1_2778	lcl|NZ_CP011304.1_cds_WP_046662610.1_2778	1	1866	+	1866	704	846	368	673	613	443	771	1038	461	949	593	525	396	391	648	311	212	258	358	409	533	229	401	203
lcl|NZ_CP011304.1_cds_WP_046662611.1_2779	lcl|NZ_CP011304.1_cds_WP_046662611.1_2779	1	354	+	354	20	14	4	32	20	4	0	9	2	14	4	3	23	19	26	9	8	16	4	12	4	9	40	9
lcl|NZ_CP011304.1_cds_WP_046662612.1_2780	lcl|NZ_CP011304.1_cds_WP_046662612.1_2780	1	1059	+	1059	22	16	2	20	10	7	0	4	0	8	6	3	14	16	26	4	26	30	2	2	8	19	59	10
lcl|NZ_CP011304.1_cds_WP_327348259.1_2781	lcl|NZ_CP011304.1_cds_WP_327348259.1_2781	1	147	+	147	291	150	322	338	398	470	42	80	45	133	193	190	203	154	473	231	98	305	35	66	48	301	490	660
lcl|NZ_CP011304.1_cds_WP_071846528.1_2789	lcl|NZ_CP011304.1_cds_WP_071846528.1_2789	1	348	+	348	410	700	354	176	72	105	221	270	315	548	213	254	311	246	296	105	108	284	70	79	102	282	297	226
lcl|NZ_CP011304.1_cds_WP_046662630.1_2799	lcl|NZ_CP011304.1_cds_WP_046662630.1_2799	1	504	+	504	1456	1505	1456	1422	1078	1252	1906	2115	1420	967	1228	1196	941	499	827	523	341	588	797	1110	1037	397	454	458
lcl|NZ_CP011304.1_cds_WP_046662631.1_2800	lcl|NZ_CP011304.1_cds_WP_046662631.1_2800	1	2013	+	2013	4144	5947	2251	2952	2655	1534	2267	2680	1829	4176	3458	2631	2288	1424	1461	1254	1079	1351	1069	1389	1315	1529	1665	1080
lcl|NZ_CP011304.1_cds_WP_079206648.1_2804	lcl|NZ_CP011304.1_cds_WP_079206648.1_2804	1	654	+	654	792	546	473	488	528	414	228	333	285	752	1141	741	595	202	181	115	155	179	117	125	145	226	424	293
lcl|NZ_CP011304.1_cds_WP_201261996.1_2805	lcl|NZ_CP011304.1_cds_WP_201261996.1_2805	1	6399	+	6399	4684	3501	2216	2407	2288	1424	1138	1585	1042	2344	3682	2202	3740	1248	1606	658	880	986	780	1310	860	962	2513	1164
lcl|NZ_CP011304.1_cds_WP_046662633.1_2806	lcl|NZ_CP011304.1_cds_WP_046662633.1_2806	1	14166	+	14166	3432	2889	1312	1579	1551	848	1186	1287	566	1860	1522	1080	2317	1267	1404	739	586	743	441	720	709	827	1250	682
lcl|NZ_CP011304.1_cds_WP_046662634.1_2807	lcl|NZ_CP011304.1_cds_WP_046662634.1_2807	1	4218	+	4218	949	702	550	502	436	342	345	484	272	495	670	462	570	285	324	234	169	234	181	222	282	176	301	190
lcl|NZ_CP011304.1_cds_WP_041804430.1_2809	lcl|NZ_CP011304.1_cds_WP_041804430.1_2809	1	159	+	159	81192	88269	20448	41458	33472	11730	31148	43244	17892	80735	19928	21292	48767	30679	52440	21153	13823	15771	24091	24293	26510	16557	17332	6809
lcl|NZ_CP011304.1_cds_WP_046662640.1_2815	lcl|NZ_CP011304.1_cds_WP_046662640.1_2815	1	192	+	192	20	10	13	5	4	9	2	6	3	4	10	2	7	14	13	4	0	9	7	5	4	20	35	22
lcl|NZ_CP011304.1_cds_WP_046662642.1_2817	lcl|NZ_CP011304.1_cds_WP_046662642.1_2817	1	1584	+	1584	407	334	138	234	142	83	437	616	256	244	128	105	171	126	241	88	80	57	181	249	275	79	94	79
lcl|NZ_CP011304.1_cds_WP_046662648.1_2823	lcl|NZ_CP011304.1_cds_WP_046662648.1_2823	1	732	+	732	631	653	313	685	563	354	667	976	409	487	451	387	363	260	351	258	171	186	278	386	486	194	393	194
lcl|NZ_CP011304.1_cds_WP_103672893.1_2830	lcl|NZ_CP011304.1_cds_WP_103672893.1_2830	1	591	+	591	140	168	18	138	101	9	114	137	45	153	20	18	83	78	61	50	19	22	21	51	69	23	81	5
lcl|NZ_CP011304.1_cds_WP_046662654.1_2832	lcl|NZ_CP011304.1_cds_WP_046662654.1_2832	1	831	+	831	580	534	297	306	246	246	214	412	344	254	364	233	415	250	349	153	136	253	319	417	442	82	228	112
lcl|NZ_CP011304.1_cds_WP_008203202.1_2836	lcl|NZ_CP011304.1_cds_WP_008203202.1_2836	1	252	+	252	4051	2032	1613	1029	864	529	2410	2723	2378	1635	1296	964	2659	1295	2187	663	490	1017	879	1479	1331	742	1787	906
lcl|NZ_CP011304.1_cds_WP_046662666.1_2847	lcl|NZ_CP011304.1_cds_WP_046662666.1_2847	1	720	+	720	1190	1463	500	1108	913	534	2335	2699	1205	1156	751	471	873	838	1580	563	362	491	1704	1945	2072	373	683	238
lcl|NZ_CP011304.1_cds_WP_046662674.1_2859	lcl|NZ_CP011304.1_cds_WP_046662674.1_2859	1	195	+	195	485	526	94	371	351	90	111	167	101	611	253	129	289	64	75	98	64	49	37	58	60	67	116	15
lcl|NZ_CP011304.1_cds_WP_158524802.1_2860	lcl|NZ_CP011304.1_cds_WP_158524802.1_2860	1	171	+	171	4	2	0	8	6	0	18	21	2	12	0	1	7	1	12	8	4	0	2	8	3	10	15	0
lcl|NZ_CP011304.1_cds_WP_046662677.1_2863	lcl|NZ_CP011304.1_cds_WP_046662677.1_2863	1	597	+	597	974	1347	528	991	723	470	1499	1697	1050	861	642	486	539	359	678	408	217	351	856	1087	1149	215	387	186
lcl|NZ_CP011304.1_cds_WP_046662678.1_2864	lcl|NZ_CP011304.1_cds_WP_046662678.1_2864	1	870	+	870	614	728	286	490	376	214	609	904	618	482	442	281	408	385	584	284	167	235	528	671	697	232	370	212
lcl|NZ_CP011304.1_cds_WP_046662681.1_2868	lcl|NZ_CP011304.1_cds_WP_046662681.1_2868	1	195	+	195	34	69	13	22	6	5	19	27	2	40	4	8	28	20	20	4	8	0	14	14	12	16	25	11
lcl|NZ_CP011304.1_cds_WP_002798718.1_2869	lcl|NZ_CP011304.1_cds_WP_002798718.1_2869	1	186	+	186	204	334	218	225	238	212	89	272	131	388	373	310	206	193	262	92	85	108	106	133	156	47	137	95
lcl|NZ_CP011304.1_cds_WP_046662682.1_2870	lcl|NZ_CP011304.1_cds_WP_046662682.1_2870	1	846	+	846	468	534	286	498	539	461	191	263	126	431	337	423	377	458	694	324	211	446	138	202	207	260	627	289
lcl|NZ_CP011304.1_cds_WP_046662688.1_2877	lcl|NZ_CP011304.1_cds_WP_046662688.1_2877	1	402	+	402	25	20	7	6	15	5	26	29	1	25	3	5	11	0	24	6	2	0	8	9	10	3	2	4
lcl|NZ_CP011304.1_cds_WP_046662689.1_2878	lcl|NZ_CP011304.1_cds_WP_046662689.1_2878	1	291	+	291	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
lcl|NZ_CP011304.1_cds_WP_327347196.1_2882	lcl|NZ_CP011304.1_cds_WP_327347196.1_2882	1	1713	+	1713	198	186	70	250	196	106	281	280	108	183	123	78	124	64	166	79	55	52	134	182	149	54	54	10
lcl|NZ_CP011304.1_cds_WP_002759175.1_2883	lcl|NZ_CP011304.1_cds_WP_002759175.1_2883	1	408	+	408	55	115	105	69	46	57	28	18	78	55	100	137	12	6	7	20	22	36	3	7	2	16	11	36
lcl|NZ_CP011304.1_cds_WP_046662693.1_2885	lcl|NZ_CP011304.1_cds_WP_046662693.1_2885	1	294	+	294	8784	8295	6113	2802	2978	2148	1660	2018	860	2876	4510	3361	9637	9395	23600	4476	2773	9523	1295	2019	2230	4171	15538	8723
lcl|NZ_CP011304.1_cds_WP_046662694.1_2886	lcl|NZ_CP011304.1_cds_WP_046662694.1_2886	1	255	+	255	140	204	53	57	68	38	66	86	17	142	72	52	137	108	356	68	48	59	33	57	47	136	229	110
lcl|NZ_CP011304.1_cds_WP_046662695.1_2887	lcl|NZ_CP011304.1_cds_WP_046662695.1_2887	1	501	+	501	93	157	110	47	64	44	40	38	25	84	55	70	79	41	111	66	28	59	17	36	32	57	112	96
lcl|NZ_CP011304.1_cds_WP_046662696.1_2888	lcl|NZ_CP011304.1_cds_WP_046662696.1_2888	1	969	+	969	431	638	194	392	401	175	352	413	155	663	339	229	345	250	316	164	138	130	104	177	186	150	305	155
lcl|NZ_CP011304.1_cds_WP_046663804.1_2897	lcl|NZ_CP011304.1_cds_WP_046663804.1_2897	1	231	+	231	146	165	207	171	122	185	79	155	120	95	206	208	66	56	55	43	43	71	43	102	62	78	60	91
lcl|NZ_CP011304.1_cds_WP_046662703.1_2899	lcl|NZ_CP011304.1_cds_WP_046662703.1_2899	1	816	+	816	26492	11171	12487	2673	4356	2667	863	1558	731	3409	3532	2668	25643	6313	10024	3359	22106	11594	1692	4513	1576	3148	20443	10297
lcl|NZ_CP011304.1_cds_WP_046662704.1_2900	lcl|NZ_CP011304.1_cds_WP_046662704.1_2900	1	375	+	375	1920	1898	705	1245	1134	408	2043	2231	885	1697	1110	645	1340	556	748	409	271	313	992	1034	1211	319	494	187
lcl|NZ_CP011304.1_cds_WP_046662709.1_2905	lcl|NZ_CP011304.1_cds_WP_046662709.1_2905	1	975	+	975	1080	689	553	556	547	371	795	1033	621	581	598	436	632	513	497	288	305	276	451	455	505	414	523	305
lcl|NZ_CP011304.1_cds_WP_004268311.1_2907	lcl|NZ_CP011304.1_cds_WP_004268311.1_2907	1	1017	+	1017	678	835	354	567	531	235	384	573	152	1019	527	519	347	472	508	316	181	178	183	249	264	267	443	205
lcl|NZ_CP011304.1_cds_WP_046662711.1_2908	lcl|NZ_CP011304.1_cds_WP_046662711.1_2908	1	333	+	333	257	666	161	263	202	96	193	216	258	515	250	184	189	76	186	39	39	78	47	111	86	152	74	51
lcl|NZ_CP011304.1_cds_WP_046662712.1_2909	lcl|NZ_CP011304.1_cds_WP_046662712.1_2909	1	387	+	387	116	137	29	62	60	35	48	61	34	63	39	39	54	30	86	28	10	16	30	27	27	34	30	21
lcl|NZ_CP011304.1_cds_WP_046662718.1_2914	lcl|NZ_CP011304.1_cds_WP_046662718.1_2914	1	1122	+	1122	956	766	375	587	527	292	810	1089	489	778	503	386	658	523	589	286	177	212	320	419	419	344	535	232
lcl|NZ_CP011304.1_cds_myaer_RS15210_2915	lcl|NZ_CP011304.1_cds_myaer_RS15210_2915	1	475	+	475	62	85	13	75	19	18	79	57	5	43	6	14	42	54	59	26	23	29	13	31	33	44	102	12
lcl|NZ_CP011304.1_cds_WP_046662725.1_2922	lcl|NZ_CP011304.1_cds_WP_046662725.1_2922	1	996	+	996	189	196	112	166	162	76	218	421	135	231	143	123	169	153	196	71	65	84	175	236	228	71	146	43
lcl|NZ_CP011304.1_cds_WP_046662728.1_2925	lcl|NZ_CP011304.1_cds_WP_046662728.1_2925	1	576	+	576	189	153	25	101	95	23	101	142	30	159	38	36	93	105	79	44	20	44	34	44	54	65	108	38
lcl|NZ_CP011304.1_cds_WP_046662729.1_2926	lcl|NZ_CP011304.1_cds_WP_046662729.1_2926	1	198	+	198	205	235	46	163	204	65	97	158	16	297	48	39	125	105	98	53	34	28	37	55	58	50	99	32
lcl|NZ_CP011304.1_cds_myaer_RS22545_2927	lcl|NZ_CP011304.1_cds_myaer_RS22545_2927	1	117	+	117	6	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	4	5	0
lcl|NZ_CP011304.1_cds_WP_046662730.1_2928	lcl|NZ_CP011304.1_cds_WP_046662730.1_2928	1	288	+	288	717	214	494	277	210	281	17	42	13	196	232	209	153	144	221	141	127	329	8	19	22	104	354	312
lcl|NZ_CP011304.1_cds_WP_046662733.1_2932	lcl|NZ_CP011304.1_cds_WP_046662733.1_2932	1	1302	+	1302	1846	1933	1291	1291	1217	891	1855	2711	1323	1362	1527	1214	1361	656	1112	526	428	589	1344	1472	1511	506	1071	612
lcl|NZ_CP011304.1_cds_WP_046662736.1_2935	lcl|NZ_CP011304.1_cds_WP_046662736.1_2935	1	765	+	765	6143	7569	2158	5724	5020	2100	4923	6264	3070	8665	4205	3216	3427	2647	2399	1953	1805	1740	1877	2374	2519	1450	1916	776
lcl|NZ_CP011304.1_cds_WP_046662746.1_2953	lcl|NZ_CP011304.1_cds_WP_046662746.1_2953	1	756	+	756	191	253	75	126	121	58	185	287	88	180	129	91	87	64	64	43	40	81	127	167	192	42	105	31
lcl|NZ_CP011304.1_cds_WP_046662754.1_2964	lcl|NZ_CP011304.1_cds_WP_046662754.1_2964	1	1437	+	1437	2784	3202	1749	2314	2289	1367	2458	3394	1600	1817	1929	1422	2027	1287	1584	1022	835	917	1792	2143	2065	1011	1537	831
lcl|NZ_CP011304.1_cds_WP_046662755.1_2967	lcl|NZ_CP011304.1_cds_WP_046662755.1_2967	1	234	+	234	222	387	174	363	242	251	461	392	508	201	321	186	106	161	491	136	57	156	217	255	306	81	99	76
lcl|NZ_CP011304.1_cds_WP_046662756.1_2968	lcl|NZ_CP011304.1_cds_WP_046662756.1_2968	1	432	+	432	41	99	51	68	45	40	128	203	63	103	45	86	35	31	52	32	15	22	41	50	42	73	23	26
lcl|NZ_CP011304.1_cds_WP_158524804.1_2972	lcl|NZ_CP011304.1_cds_WP_158524804.1_2972	1	165	+	165	61	137	31	33	35	16	33	29	20	69	22	36	65	174	201	40	12	15	37	43	54	71	239	33
lcl|NZ_CP011304.1_cds_WP_158524805.1_2974	lcl|NZ_CP011304.1_cds_WP_158524805.1_2974	1	1041	+	1041	469	305	384	670	564	595	158	324	89	231	407	234	258	46	50	66	56	58	32	41	35	14	29	22
