# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/phage_pangenome.gff3" "-p" "-t" "gene" "-g" "ID" "-o" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/FC/TAIHU_all_featurecounts.txt" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_3.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_1.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_2.sam" "/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_3.sam" 
Geneid	Chr	Start	End	Strand	Length	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_1_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_2_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_3_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_4_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_5_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_6_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_7_3.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_1.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_2.sam	/lustre/isaac/proj/UTK0002/TAIHU/TAIHU_2024/phage_pangenome/SAM/A_8_3.sam
lcl|PP438421.1_cds_XAI96270.1_43.1	lcl|PP438421.1_cds_XAI96270.1_43	1	438	+	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438421.1_cds_XAI96271.1_44.1	lcl|PP438421.1_cds_XAI96271.1_44	1	375	+	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438421.1_cds_XAI96272.1_45.1	lcl|PP438421.1_cds_XAI96272.1_45	1	588	+	588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438421.1_cds_XAI96273.1_46.1	lcl|PP438421.1_cds_XAI96273.1_46	1	381	+	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438421.1_cds_XAI96274.1_47.1	lcl|PP438421.1_cds_XAI96274.1_47	1	1155	+	1155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438421.1_cds_XAI96275.1_48.1	lcl|PP438421.1_cds_XAI96275.1_48	1	585	+	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438421.1_cds_XAI96276.1_49.1	lcl|PP438421.1_cds_XAI96276.1_49	1	375	+	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438421.1_cds_XAI96277.1_50.1	lcl|PP438421.1_cds_XAI96277.1_50	1	3075	+	3075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438421.1_cds_XAI96278.1_51.1	lcl|PP438421.1_cds_XAI96278.1_51	1	402	+	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438421.1_cds_XAI96279.1_52.1	lcl|PP438421.1_cds_XAI96279.1_52	1	1008	+	1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438421.1_cds_XAI96280.1_53.1	lcl|PP438421.1_cds_XAI96280.1_53	1	564	+	564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438421.1_cds_XAI96281.1_54.1	lcl|PP438421.1_cds_XAI96281.1_54	1	774	+	774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96170.1_2.1	lcl|PP438420.1_cds_XAI96170.1_2	1	858	+	858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96171.1_3.1	lcl|PP438420.1_cds_XAI96171.1_3	1	312	+	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96172.1_4.1	lcl|PP438420.1_cds_XAI96172.1_4	1	576	+	576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96173.1_5.1	lcl|PP438420.1_cds_XAI96173.1_5	1	1752	+	1752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96174.1_6.1	lcl|PP438420.1_cds_XAI96174.1_6	1	1299	+	1299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96175.1_7.1	lcl|PP438420.1_cds_XAI96175.1_7	1	702	+	702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96176.1_8.1	lcl|PP438420.1_cds_XAI96176.1_8	1	1197	+	1197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96177.1_9.1	lcl|PP438420.1_cds_XAI96177.1_9	1	246	+	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96178.1_10.1	lcl|PP438420.1_cds_XAI96178.1_10	1	366	+	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96179.1_11.1	lcl|PP438420.1_cds_XAI96179.1_11	1	579	+	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96180.1_12.1	lcl|PP438420.1_cds_XAI96180.1_12	1	507	+	507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96181.1_13.1	lcl|PP438420.1_cds_XAI96181.1_13	1	345	+	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96182.1_14.1	lcl|PP438420.1_cds_XAI96182.1_14	1	435	+	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96183.1_15.1	lcl|PP438420.1_cds_XAI96183.1_15	1	411	+	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96184.1_16.1	lcl|PP438420.1_cds_XAI96184.1_16	1	438	+	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96185.1_17.1	lcl|PP438420.1_cds_XAI96185.1_17	1	348	+	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96186.1_18.1	lcl|PP438420.1_cds_XAI96186.1_18	1	252	+	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96187.1_19.1	lcl|PP438420.1_cds_XAI96187.1_19	1	339	+	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96188.1_20.1	lcl|PP438420.1_cds_XAI96188.1_20	1	303	+	303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96189.1_21.1	lcl|PP438420.1_cds_XAI96189.1_21	1	1902	+	1902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96190.1_22.1	lcl|PP438420.1_cds_XAI96190.1_22	1	714	+	714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96191.1_23.1	lcl|PP438420.1_cds_XAI96191.1_23	1	573	+	573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96192.1_24.1	lcl|PP438420.1_cds_XAI96192.1_24	1	354	+	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96193.1_25.1	lcl|PP438420.1_cds_XAI96193.1_25	1	1578	+	1578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96194.1_26.1	lcl|PP438420.1_cds_XAI96194.1_26	1	2061	+	2061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96195.1_27.1	lcl|PP438420.1_cds_XAI96195.1_27	1	351	+	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96196.1_28.1	lcl|PP438420.1_cds_XAI96196.1_28	1	693	+	693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96197.1_29.1	lcl|PP438420.1_cds_XAI96197.1_29	1	441	+	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96198.1_30.1	lcl|PP438420.1_cds_XAI96198.1_30	1	1878	+	1878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96199.1_31.1	lcl|PP438420.1_cds_XAI96199.1_31	1	285	+	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96200.1_32.1	lcl|PP438420.1_cds_XAI96200.1_32	1	267	+	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96201.1_33.1	lcl|PP438420.1_cds_XAI96201.1_33	1	588	+	588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96202.1_34.1	lcl|PP438420.1_cds_XAI96202.1_34	1	282	+	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96203.1_35.1	lcl|PP438420.1_cds_XAI96203.1_35	1	186	+	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96204.1_36.1	lcl|PP438420.1_cds_XAI96204.1_36	1	1194	+	1194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96205.1_37.1	lcl|PP438420.1_cds_XAI96205.1_37	1	483	+	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96206.1_38.1	lcl|PP438420.1_cds_XAI96206.1_38	1	687	+	687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96207.1_39.1	lcl|PP438420.1_cds_XAI96207.1_39	1	1104	+	1104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96208.1_40.1	lcl|PP438420.1_cds_XAI96208.1_40	1	138	+	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96209.1_41.1	lcl|PP438420.1_cds_XAI96209.1_41	1	150	+	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96210.1_42.1	lcl|PP438420.1_cds_XAI96210.1_42	1	357	+	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96211.1_43.1	lcl|PP438420.1_cds_XAI96211.1_43	1	222	+	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96212.1_44.1	lcl|PP438420.1_cds_XAI96212.1_44	1	330	+	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96213.1_45.1	lcl|PP438420.1_cds_XAI96213.1_45	1	375	+	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96214.1_46.1	lcl|PP438420.1_cds_XAI96214.1_46	1	501	+	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96215.1_47.1	lcl|PP438420.1_cds_XAI96215.1_47	1	183	+	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96216.1_48.1	lcl|PP438420.1_cds_XAI96216.1_48	1	636	+	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96217.1_49.1	lcl|PP438420.1_cds_XAI96217.1_49	1	681	+	681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96218.1_50.1	lcl|PP438420.1_cds_XAI96218.1_50	1	249	+	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96219.1_51.1	lcl|PP438420.1_cds_XAI96219.1_51	1	1128	+	1128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96220.1_52.1	lcl|PP438420.1_cds_XAI96220.1_52	1	159	+	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96221.1_53.1	lcl|PP438420.1_cds_XAI96221.1_53	1	1437	+	1437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96222.1_54.1	lcl|PP438420.1_cds_XAI96222.1_54	1	288	+	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96223.1_55.1	lcl|PP438420.1_cds_XAI96223.1_55	1	222	+	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96224.1_56.1	lcl|PP438420.1_cds_XAI96224.1_56	1	666	+	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96225.1_57.1	lcl|PP438420.1_cds_XAI96225.1_57	1	111	+	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96226.1_58.1	lcl|PP438420.1_cds_XAI96226.1_58	1	648	+	648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438420.1_cds_XAI96227.1_59.1	lcl|PP438420.1_cds_XAI96227.1_59	1	1836	+	1836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95914.1_1.1	lcl|PP438418.1_cds_XAI95914.1_1	1	1158	+	1158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95915.1_2.1	lcl|PP438418.1_cds_XAI95915.1_2	1	198	+	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95916.1_3.1	lcl|PP438418.1_cds_XAI95916.1_3	1	672	+	672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95917.1_4.1	lcl|PP438418.1_cds_XAI95917.1_4	1	387	+	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95918.1_5.1	lcl|PP438418.1_cds_XAI95918.1_5	1	240	+	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95919.1_6.1	lcl|PP438418.1_cds_XAI95919.1_6	1	969	+	969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95920.1_7.1	lcl|PP438418.1_cds_XAI95920.1_7	1	345	+	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95921.1_8.1	lcl|PP438418.1_cds_XAI95921.1_8	1	213	+	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95922.1_9.1	lcl|PP438418.1_cds_XAI95922.1_9	1	1800	+	1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95923.1_10.1	lcl|PP438418.1_cds_XAI95923.1_10	1	366	+	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95924.1_11.1	lcl|PP438418.1_cds_XAI95924.1_11	1	246	+	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95925.1_12.1	lcl|PP438418.1_cds_XAI95925.1_12	1	948	+	948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95926.1_13.1	lcl|PP438418.1_cds_XAI95926.1_13	1	567	+	567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95927.1_14.1	lcl|PP438418.1_cds_XAI95927.1_14	1	333	+	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95928.1_15.1	lcl|PP438418.1_cds_XAI95928.1_15	1	1365	+	1365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95929.1_16.1	lcl|PP438418.1_cds_XAI95929.1_16	1	798	+	798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95930.1_17.1	lcl|PP438418.1_cds_XAI95930.1_17	1	1092	+	1092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95931.1_18.1	lcl|PP438418.1_cds_XAI95931.1_18	1	225	+	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95932.1_19.1	lcl|PP438418.1_cds_XAI95932.1_19	1	612	+	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95933.1_20.1	lcl|PP438418.1_cds_XAI95933.1_20	1	366	+	366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95934.1_21.1	lcl|PP438418.1_cds_XAI95934.1_21	1	2193	+	2193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95935.1_22.1	lcl|PP438418.1_cds_XAI95935.1_22	1	165	+	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95936.1_23.1	lcl|PP438418.1_cds_XAI95936.1_23	1	216	+	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95937.1_24.1	lcl|PP438418.1_cds_XAI95937.1_24	1	156	+	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95938.1_25.1	lcl|PP438418.1_cds_XAI95938.1_25	1	150	+	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95939.1_26.1	lcl|PP438418.1_cds_XAI95939.1_26	1	1638	+	1638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95940.1_27.1	lcl|PP438418.1_cds_XAI95940.1_27	1	264	+	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95941.1_28.1	lcl|PP438418.1_cds_XAI95941.1_28	1	495	+	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95942.1_29.1	lcl|PP438418.1_cds_XAI95942.1_29	1	246	+	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95943.1_30.1	lcl|PP438418.1_cds_XAI95943.1_30	1	654	+	654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95944.1_31.1	lcl|PP438418.1_cds_XAI95944.1_31	1	654	+	654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95945.1_32.1	lcl|PP438418.1_cds_XAI95945.1_32	1	1812	+	1812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95946.1_33.1	lcl|PP438418.1_cds_XAI95946.1_33	1	177	+	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95947.1_34.1	lcl|PP438418.1_cds_XAI95947.1_34	1	384	+	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lcl|PP438418.1_cds_XAI95948.1_35.1	lcl|PP438418.1_cds_XAI95948.1_35	1	375	+	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
